#mass, obs, exp, +1sigma, -1sigma, +2sigma, -2sigma
250 201.3 141.1 60.2 41.9 137.6 67.5 
260 458.6 342.8 146.2 99.4 325.6 162.0 
270 646.4 366.2 156.2 105.7 352.5 172.4 
280 510.6 383.8 166.7 111.7 373.8 182.2 
300 344.3 362.3 157.4 105.5 350.7 171.9 
320 244.8 284.2 125.7 85.2 287.2 137.1 
340 139.2 181.2 81.5 54.3 184.0 87.4 
350 114.6 168.5 73.1 50.1 167.2 80.7 
400 71.1 82.5 36.5 24.5 82.4 39.6 
450 26.2 48.3 20.5 14.7 47.1 23.0 
500 16.3 30.8 13.2 8.9 29.1 14.9 
550 21.2 22.0 9.4 7.0 21.3 10.7 
600 24.6 15.1 7.3 4.0 16.5 7.1 
650 15.7 11.2 4.7 4.1 11.2 5.9 
750 6.7 8.3 3.4 2.8 8.1 4.4 
800 5.1 6.3 3.7 1.7 8.1 2.7 
