#mass, obs, exp, +1sigma, -1sigma, +2sigma, -2sigma
250 422.8 513.7 247.7 159.9 576.1 255.9 
260 742.5 693.4 339.9 219.8 789.3 349.4 
270 860.9 533.2 248.7 162.3 573.3 261.4 
280 740.4 443.4 206.7 134.0 476.7 215.7 
300 346.0 390.6 166.6 115.1 380.9 185.4 
320 214.5 264.6 115.0 79.2 262.8 127.6 
340 118.6 166.5 72.3 49.5 165.3 79.7 
350 108.8 157.7 67.3 45.9 149.8 74.8 
400 71.1 82.5 36.5 24.5 82.4 39.6 
450 26.2 48.3 20.5 14.7 47.1 23.0 
500 16.3 30.8 13.2 8.9 29.1 14.9 
550 21.2 22.0 9.4 7.0 21.3 10.7 
600 24.6 15.1 7.3 4.0 16.5 7.1 
650 15.7 11.2 4.7 4.1 11.2 5.9 
750 6.7 8.3 3.4 2.8 8.1 4.4 
800 5.1 6.3 3.7 1.7 8.1 2.7 
