#mass, obs, exp, +1sigma, -1sigma, +2sigma, -2sigma
250 201.3 141.1 60.2 41.9 137.6 67.5 
260 458.6 342.8 146.2 99.4 325.6 162.0 
270 646.4 366.2 156.2 105.7 352.5 172.4 
280 510.6 383.8 166.7 111.7 373.8 182.2 
300 344.3 362.3 157.4 105.5 350.7 171.9 
320 244.8 284.2 125.7 85.2 287.2 137.1 
340 139.2 181.2 81.5 54.3 184.0 87.4 
350 114.6 168.5 73.1 50.1 167.2 80.7 
400 88.2 91.3 41.1 28.2 95.0 44.6 
450 33.1 56.2 26.4 16.4 59.1 26.8 
500 27.8 38.6 16.9 11.6 39.6 19.0 
550 38.7 27.8 12.9 8.0 29.7 13.4 
600 33.0 22.0 10.1 6.8 24.5 11.4 
650 21.4 13.2 7.1 4.3 16.1 6.2 
750 7.2 8.3 4.5 2.4 10.3 3.9 
800 5.1 7.3 3.3 2.3 8.0 4.1 
