OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula 
3,iterativefit,central,1,0.0,2.5,20.0,10000.0,-15.0,1.1,1.0
3,iterativefit,down_hfstats2,0,0.0,2.5,20.0,30.0,-15.0,0.0,0.0
3,iterativefit,down_hfstats2,0,0.0,2.5,20.0,30.0,0.0,0.0665,1.07177484035
3,iterativefit,down_hfstats2,0,0.0,2.5,20.0,30.0,0.0665,0.1555,91.6557288182*(x-0.0665)*(x-0.0665)*(x-0.0665)-34.5258688425*(x-0.0665)*(x-0.0665)+3.96758957006*(x-0.0665)+1.0717748403549194
3,iterativefit,down_hfstats2,0,0.0,2.5,20.0,30.0,0.1555,0.1955,1022.40176104*(x-0.1555)*(x-0.1555)*(x-0.1555)-85.4147051187*(x-0.1555)*(x-0.1555)+0.0*(x-0.1555)+1.2160253524780273
3,iterativefit,down_hfstats2,0,0.0,2.5,20.0,30.0,0.1955,0.243,1014.40633463*(x-0.1955)*(x-0.1955)*(x-0.1955)-52.0064728529*(x-0.1955)*(x-0.1955)-1.92564795648*(x-0.1955)+1.144795536994934
3,iterativefit,down_hfstats2,0,0.0,2.5,20.0,30.0,0.243,0.3045,-446.570713009*(x-0.243)*(x-0.243)*(x-0.243)+47.9008685704*(x-0.243)*(x-0.243)+0.0*(x-0.243)+1.044703483581543
3,iterativefit,down_hfstats2,0,0.0,2.5,20.0,30.0,0.3045,0.369,-95.5829457344*(x-0.3045)*(x-0.3045)*(x-0.3045)+2.85477716009*(x-0.3045)*(x-0.3045)+0.824680596323*(x-0.3045)+1.1220004558563232
3,iterativefit,down_hfstats2,0,0.0,2.5,20.0,30.0,0.369,0.4355,922.536281676*(x-0.369)*(x-0.369)*(x-0.369)-92.0229940971*(x-0.369)*(x-0.369)+0.0*(x-0.369)+1.1614205837249756
3,iterativefit,down_hfstats2,0,0.0,2.5,20.0,30.0,0.4355,0.5025,-656.556964699*(x-0.4355)*(x-0.4355)*(x-0.4355)+65.9839749522*(x-0.4355)*(x-0.4355)+0.0*(x-0.4355)+1.0257710218429565
3,iterativefit,down_hfstats2,0,0.0,2.5,20.0,30.0,0.5025,0.5695,1077.36441317*(x-0.5025)*(x-0.5025)*(x-0.5025)-108.275123523*(x-0.5025)*(x-0.5025)+0.0*(x-0.5025)+1.1245050430297852
3,iterativefit,down_hfstats2,0,0.0,2.5,20.0,30.0,0.5695,0.6365,-70.9036046843*(x-0.5695)*(x-0.5695)*(x-0.5695)+10.2591844604*(x-0.5695)*(x-0.5695)+0.0*(x-0.5695)+0.9624893665313721
3,iterativefit,down_hfstats2,0,0.0,2.5,20.0,30.0,0.6365,0.703,-125.160854974*(x-0.6365)*(x-0.6365)*(x-0.6365)+9.32786390455*(x-0.6365)*(x-0.6365)+0.419871873416*(x-0.6365)+0.9872176647186279
3,iterativefit,down_hfstats2,0,0.0,2.5,20.0,30.0,0.703,0.769,29.0156812164*(x-0.703)*(x-0.703)*(x-0.703)-6.04581746335*(x-0.703)*(x-0.703)+0.0*(x-0.703)+1.0195820331573486
3,iterativefit,down_hfstats2,0,0.0,2.5,20.0,30.0,0.769,0.835,318.677967499*(x-0.769)*(x-0.769)*(x-0.769)-28.3758537595*(x-0.769)*(x-0.769)-0.418870983027*(x-0.769)+1.0015883445739746
3,iterativefit,down_hfstats2,0,0.0,2.5,20.0,30.0,0.835,0.901,-117.529970107*(x-0.835)*(x-0.835)*(x-0.835)+11.6354670406*(x-0.835)*(x-0.835)+0.0*(x-0.835)+0.9419562816619873
3,iterativefit,down_hfstats2,0,0.0,2.5,20.0,30.0,0.901,0.972,113.300699808*(x-0.901)*(x-0.901)*(x-0.901)-28.6209585035*(x-0.901)*(x-0.901)+0.0*(x-0.901)+0.9588509798049927
3,iterativefit,down_hfstats2,0,0.0,2.5,20.0,30.0,0.972,1.1,0.855124294758
3,iterativefit,down_hfstats2,0,0.0,2.5,30.0,50.0,-15.0,0.0,0.0
3,iterativefit,down_hfstats2,0,0.0,2.5,30.0,50.0,0.0,0.068,1.11689579487
3,iterativefit,down_hfstats2,0,0.0,2.5,30.0,50.0,0.068,0.1565,45.0936648307*(x-0.068)*(x-0.068)*(x-0.068)-16.2633614444*(x-0.068)*(x-0.068)+1.81906040655*(x-0.068)+1.1168957948684692
3,iterativefit,down_hfstats2,0,0.0,2.5,30.0,50.0,0.1565,0.202,642.729548762*(x-0.1565)*(x-0.1565)*(x-0.1565)-49.2790711112*(x-0.1565)*(x-0.1565)+0.0*(x-0.1565)+1.1817607879638672
3,iterativefit,down_hfstats2,0,0.0,2.5,30.0,50.0,0.202,0.2545,-120.16646586*(x-0.202)*(x-0.202)*(x-0.202)+9.36052574603*(x-0.202)*(x-0.202)-0.492562926142*(x-0.202)+1.1402835845947266
3,iterativefit,down_hfstats2,0,0.0,2.5,30.0,50.0,0.2545,0.312,496.03247626*(x-0.2545)*(x-0.2545)*(x-0.2545)-38.4059820567*(x-0.2545)*(x-0.2545)-0.503334187388*(x-0.2545)+1.1228355169296265
3,iterativefit,down_hfstats2,0,0.0,2.5,30.0,50.0,0.312,0.3735,-29.7652582424*(x-0.312)*(x-0.312)*(x-0.312)+5.25960531884*(x-0.312)*(x-0.312)+0.0*(x-0.312)+1.0612144470214844
3,iterativefit,down_hfstats2,0,0.0,2.5,30.0,50.0,0.3735,0.438,-208.062036533*(x-0.3735)*(x-0.3735)*(x-0.3735)+17.7331608698*(x-0.3735)*(x-0.3735)+0.309192510255*(x-0.3735)+1.0741839408874512
3,iterativefit,down_hfstats2,0,0.0,2.5,30.0,50.0,0.438,0.5035,23.5958098492*(x-0.438)*(x-0.438)*(x-0.438)-5.11670548341*(x-0.438)*(x-0.438)+0.0*(x-0.438)+1.1120706796646118
3,iterativefit,down_hfstats2,0,0.0,2.5,30.0,50.0,0.5035,0.5695,242.818984869*(x-0.5035)*(x-0.5035)*(x-0.5035)-23.3488494035*(x-0.5035)*(x-0.5035)-0.36659264871*(x-0.5035)+1.0967494249343872
